word,frequency
acho,116
vai,104
dia,101
gnt,81
vou,76
ent,69
sim,66
boa,59
pode,58
mim,57
bom,50
melhor,47
aqui,47
casa,46
mensagem,45
ter,42
fazer,39
posso,38
bem,37
dps,35
coisa,35
luca,34
feliz,33
levar,33
ano,32
tipo,31
gente,30
umas,29
editada,29
algo,29
amigo,28
ainda,28
ribeiro,28
sei,28
todo,27
ver,27
mundo,26
dar,26
achei,26
nao,26
então,24
outro,24
sábado,24
bebida,24
kkkkkkkkk,24
comprar,23
ideia,23
meio,23
melhoras,23
faz,22
presente,22
alguém,22
tarde,22
vamos,22
assim,22
dias,22
sexta,22
oculto,21
pessoal,21
chegar,21
devo,21
fica,20
tempo,20
semana,20
vdd,20
tava,20
topo,20
legal,19
natal,19
qnd,19
marcar,19
todos,19
bora,19
caso,18
gosto,18
pior,18
carol,18
the,18
quiser,17
lista,17
uns,17
podia,17
fzr,17
domingo,17
amanhã,17
onde,17
fut,17
vem,16
pessoa,16
cada,16
enquete,16
tudo,16
menos,16
quiserem,16
show,16
tão,16
thiago,15
eric,15
ficar,15
salão,15
sabe,15
antes,15
uber,15
luna,15
grupo,14
quer,14
novo,14
tanto,14
pouco,14
outra,14
deve,14
track,14
saber,13
nesse,13
pedir,13
sla,13
bia,13
agr,13
queria,13
cara,13
lugar,13
nada,13
algum,13
condomínio,13
figueiredo,13
polar,13
quadra,13
gostei,13
janeiro,13
daqui,12
coisas,12
vez,12
deixa,12
consigo,12
rafa,12
festa,12
maneiro,12
trilha,12
kkkkkkkkkkkkkk,12
precisa,11
nome,11
pow,11
kkkkkkkkkkkkk,11
hrs,11
apagada,11
top,11
vir,11
amn,11
indo,11
pooo,11
rafael,11
cedo,11
alguma,11
sair,11
fala,11
kkkkkkkkkkkk,11
jogar,11
prova,11
noite,11
doce,11
kkkkkkkkkk,11
álbum,11
músicas,11
pessoas,10
querem,10
preço,10
volta,10
conseguir,10
disse,10
fechou,10
leva,10
hein,10
sempre,10
parece,10
inclusive,10
germano,10
amo,10
app,9
casal,9
tirar,9
preciso,9
deixar,9
manhã,9
falou,9
pizza,9
podemos,9
problema,9
pós,9
pensei,9
manda,9
segunda,9
kkkkkkkkkkkkkkkkk,9
bebidas,9
aniversário,9
cheguei,9
quero,9
niver,9
falar,9
passar,9
melhores,9
hoje,9
midnights,9
música,9
you,9
reais,8
confirmar,8
falando,8
suave,8
sugestão,8
maior,8
aih,8
vão,8
viagem,8
quinta,8
sendo,8
tirou,8
tentar,8
tlvz,8
leve,8
mto,8
comida,8
ngm,8
anos,8
podem,8
perfeito,8
almoço,8
sobre,8
sabado,8
kkkkkkkkkkkkkkkk,8
cond,8
hotel,8
album,8
taylor,8
email,8
querendo,7
opa,7
kkkkkkkkkkk,7
ana,7
site,7
drawnames,7
justo,7
nisso,7
alg,7
hora,7
churrasco,7
dessa,7
aliás,7
dezembro,7
puc,7
ahhh,7
tar,7
voltar,7
tah,7
feriado,7
sabia,7
carro,7
perto,7
pagar,7
pix,7
foto,7
ficou,7
horário,7
horas,7
tranquilo,7
jogo,7
direto,7
fez,7
dudu,7
quanto,7
lembro,7
amigos,7
pensando,7
realmente,7
nunca,7
pilho,7
falta,7
ate,7
fazenda,7
primeira,7
ophelia,7
logo,6
sortear,6
fechar,6
poll,6
certo,6
desse,6
foda,6
escolher,6
prefiro,6
colocar,6
ces,6
carnaval,6
qnt,6
passado,6
conta,6
mandar,6
calma,6
ontem,6
poderia,6
além,6
disso,6
final,6
real,6
sabem,6
chegando,6
deu,6
quase,6
entendi,6
19h,6
ali,6
portaria,6
pena,6
parque,6
rio,6
parada,6
barra,6
olha,6
clube,6
aula,6
simmm,6
restaurante,6
fiquei,6
16h30,6
abrir,6
acaba,6
esperar,6
montar,6
ouvi,6
halloween,6
murder,6
ricardo,6
scooby,6
fim,5
participar,5
acham,5
namorada,5
poder,5
possa,5
fiz,5
kkkkkkkkkkkkkkk,5
jogos,5
caro,5
tirado,5
chega,5
shopping,5
parte,5
vendo,5
muita,5
novooo,5
férias,5
data,5
meses,5
talvez,5
rápido,5
mercado,5
daria,5
concordo,5
cima,5
iria,5
alguem,5
falei,5
chamar,5
kkkkkkkkkkkkkkkkkkkkkkk,5
reservar,5
dentro,5
endereço,5
bloco,5
andar,5
18h,5
ironicamente,5
chegarem,5
infelizmente,5
role,5
trabalho,5
pede,5
ihhh,5
tal,5
saio,5
amanha,5
próximo,5
chuva,5
lagoa,5
ein,5
grande,5
dúvida,5
campeonato,5
ruim,5
sul,5
formatura,5
all,5
lindos,5
geral,5
conheço,5
errado,5
basicamente,5
pegar,5
vamo,5
vibe,5
tirei,5
salgado,5
life,5
vaza,5
state,5
grace,5
are,5
mine,5
tao,5
comprei,5
sentido,4
faixa,4
sorteio,4
sao,4
okayy,4
vice,4
kkkkkkkkkkkkkkkkkk,4
caras,4
tênis,4
conhece,4
povo,4
amor,4
búzios,4
viu,4
esperando,4
nessa,4
trabalhar,4
bastante,4
reservado,4
hahahaha,4
adiar,4
galera,4
msg,4
nenhum,4
amg,4
maioria,4
achava,4
democracia,4
17h,4
pergunta,4
jardim,4
existe,4
churrasqueira,4
chego,4
vindo,4
chegamos,4
outros,4
espero,4
estarei,4
amiga,4
despedida,4
puder,4
avenida,4
confirmado,4
regras,4
pedindo,4
desculpa,4
animo,4
prezados,4
paradas,4
trazer,4
alcoólica,4
mate,4
caminho,4
qqr,4
convidados,4
paa,4
sab,4
preferem,4
gigoia,4
repelente,4
flr,4
duas,4
esqueci,4
semestre,4
bons,4
praia,4
questão,4
sol,4
hehe,4
perdido,4
saindo,4
filme,4
boas,4
doente,4
molinaro,4
sabendo,4
faria,4
quarta,4
ilha,4
barato,4
drink,4
merece,4
almanara,4
koe,4
dependendo,4
vilarejo,4
amei,4
joga,4
lolla,4
sabrina,4
meme,4
deveria,4
coração,4
irmão,4
jovens,4
mystery,4
resto,4
showgirl,4
agora,4
hit,4
sido,4
lover,4
demais,4
mentira,4
curto,4
karma,4
metade,4
personagens,4
favor,4
grafo,4
tmj,4
lucamigos,4
difícil,3
convidar,3
super,3
ciclo,3
usar,3
principio,3
valor,3
aguardando,3
tirando,3
ninguém,3
comprado,3
lol,3
nomes,3
família,3
ajudar,3
dei,3
ótimo,3
escrever,3
beber,3
passa,3
dnv,3
aka,3
rola,3
ponto,3
ida,3
edu,3
usa,3
fácil,3
lançar,3
comprou,3
acabei,3
consegui,3
valendo,3
sugerir,3
fazermos,3
viajar,3
ideal,3
pega,3
fds,3
exatamente,3
beleza,3
descobri,3
ahh,3
espaço,3
parede,3
liberado,3
cidade,3
presidente,3
josé,3
alencar,3
apto,3
primeiro,3
okay,3
geladeira,3
mds,3
juro,3
esquecer,3
arrasou,3
vídeo,3
cadinho,3
original,3
começar,3
livres,3
cinema,3
noção,3
jaee,3
irmã,3
vish,3
irmãos,3
longe,3
pai,3
medo,3
última,3
doutorado,3
maluco,3
mudaram,3
papo,3
kkkkkkkkkkkkkkkkkkkkkk,3
total,3
feito,3
esfirras,3
esquema,3
via,3
ifood,3
apt,3
almoçar,3
nova,3
computação,3
pão,3
levarei,3
desde,3
obrigado,3
acabar,3
kiosque,3
probabilidade,3
jogando,3
cristo,3
açúcar,3
cmg,3
floresta,3
pequeno,3
porra,3
ice,3
kkkkkkkkkkkkkkkkkkkkkkkkkkk,3
kali,3
vodka,3
poo,3
coe,3
recomendo,3
fogo,3
aki,3
sai,3
gin,3
mudar,3
aceito,3
pedaço,3
peço,3
palha,3
tennis,3
tamo,3
entra,3
pilham,3
junina,3
rio2,3
downtown,3
drinks,3
puts,3
dez,3
próxima,3
pras,3
neh,3
certeza,3
alta,3
caramba,3
preferir,3
vezes,3
dois,3
poooo,3
noites,3
caraca,3
deus,3
prox,3
contato,3
esperava,3
contexto,3
topa,3
quiosquinho,3
frio,3
senti,3
jesus,3
kkkkkkkkkkkkkkkkkkkkk,3
cachaça,3
beach,3
momento,3
gamela,3
prov,3
incluso,3
engano,3
outras,3
pqp,3
américa,3
latina,3
dando,3
cachorro,3
quais,3
saiu,3
pseudo,3
custa,3
decidir,3
achando,3
quiosque,3
chovendo,3
outback,3
batata,3
balsa,3
alugar,3
pró,3
bonito,3
prontos,3
assassinato,3
nível,3
tópico,3
war,3
cheio,3
solteiros,3
red,3
depre,3
duvida,3
fate,3
afterglow,3
cruel,3
summer,3
atras,3
3am,3
losing,3
fofa,3
errou,3
alias,3
boy,3
ouvir,3
feat,3
musica,3
criar,3
ata,3
fizemos,3
restrição,3
recebendo,3
fazendo,3
anime,3
queridos,3
mandei,2
namoradas,2
prob,2
eai,2
organizar,2
esquecemos,2
numero,2
coloco,2
coloca,2
evento,2
restrições,2
põe,2
envia,2
whatsapp,2
pfto,2
vmss,2
recebeu,2
fulano,2
avisa,2
merda,2
kakakak,2
discutir,2
sugeriu,2
funciona,2
reservo,2
exclusões,2
evitar,2
secreto,2
oxe,2
obs,2
único,2
achar,2
olho,2
coloquei,2
roubar,2
pessoalmente,2
específico,2
guiar,2
surpresa,2
área,2
sipa,2
cerveja,2
glr,2
paz,2
aproveitando,2
sucesso,2
número,2
resolve,2
true,2
deram,2
gostaria,2
fev,2
princípio,2
supostamente,2
fato,2
precisaria,2
lota,2
suspeito,2
joana,2
avisando,2
pfvr,2
estaria,2
possível,2
comer,2
tamanho,2
xgg,2
imprevisto,2
tbmm,2
